Ticker,ROE (Return on Equity),ROA (Return on Assets),P/E Ratio (PER),Debt/Equity Ratio,Current Ratio,Quick Ratio,Revenue Growth (YoY),Earnings Growth (YoY),EPS Growth (Next 5 Years),σ (std),MDD,6개월 수익률,20일 이동평균선,60일 이동평균선,이평괴리율(20일),RSI(14),MACD,Signal
CNP,0.09606,0.02901,24.98734,202.111,0.513,0.336,0.071,0.506,0.518,0.010727079742534,-0.0838612485503357,0.0896674925069498,39.36750011444092,38.63093433380127,0.0028576726352544,42.1203585595098,0.0295559917485732,0.0675595176771642
CBRE,0.14091,0.044299997,42.648876,104.121,1.127,0.883,0.135,0.658,0.613,0.018568011390953,-0.2255828270232285,0.1558313118574241,156.03000183105468,158.6583335876465,-0.0269179000878795,30.35166843239641,-1.8172496524331905,-1.233372032590499
CF,0.21967,0.095649995,10.018137,44.133,2.273,1.863,0.211,0.416,0.279,0.0209462527092748,-0.2915900918626105,-0.0444977991266898,84.41650047302247,86.20433298746745,-0.0185568223051604,48.53332668728975,-1.161872089953178,-0.947170189752686
SCHW,0.17046,0.01768,22.384075,99.789,0.59,0.59,0.266,0.775,0.675,0.0158063574703904,-0.1715764482221297,0.1116865023728308,94.32799911499023,94.40299962361654,0.0132728641316583,53.12106380331846,0.1585294127012986,0.0433395869771724
CMG,0.44958,0.13583,26.973452,154.574,1.542,1.415,0.075,0.022,-0.014,0.023847832603459,-0.5392987023110982,-0.3982231268707267,37.41149969100952,39.65133339564006,-0.1852772598271148,5.135940389295101,-2.803124934766572,-1.9126235957987212
CHTR,0.31327,0.05546,5.8361063,497.907,0.375,0.313,-0.009,-0.054,-0.112,0.0251243746276883,-0.507431253485682,-0.4881181269943352,239.6734992980957,258.1661669413249,-0.1219304697241748,20.0824855745734,-12.778942559381534,-10.402499901665209
CVX,0.07316,0.04047,21.860954,21.239,1.152,0.72,-0.014,-0.266,-0.211,0.0155152225861131,-0.2063972823393854,0.1190703907731538,154.23500061035156,155.64633407592774,0.0091742683601859,54.65000507355124,-0.0702100379866976,-0.1757183027583954
CI,0.15538,0.0395,11.423009,81.021,0.828,0.687,0.095,1.654,1.528,0.0218453402974969,-0.2741216559954765,-0.1363951399003433,284.31499938964845,293.49927978515626,-0.0919930210635638,29.742149137260256,-10.99657647816656,-7.623014078831063
CB,0.1364,0.029679999,12.050585,30.958,0.38,0.176,0.091,0.226,0.205,0.0127587341165779,-0.1176192781027558,0.0136325739458185,278.7254989624024,278.4078328450521,0.0341716171396375,73.07409352093289,1.8916585067232177,0.7540794741743135
CSCO,0.22059,0.06342,28.270588,63.282,0.998,0.802,0.076,0.186,0.179,0.0143404705109108,-0.1745781688182683,0.1809878673831182,71.2379997253418,68.78135375976562,0.0119598615322398,55.869731500186326,0.8815077354169745,1.0070003797846774
CTAS,0.42187,0.15977,41.166668,56.254,2.239,1.034,0.087,0.091,0.087,0.0159226848146433,-0.1987577769067755,-0.1363675682566276,187.52799911499025,198.54683252970375,-0.0121475146417649,24.547126300156805,-3.4967643691246053,-3.808669272229301
CINF,0.14529,0.04305,12.39017,5.732,1.118,0.929,0.122,0.367,0.368,0.015669250034237,-0.200259475755414,0.1331416706861929,156.61199951171875,155.9195821126302,0.0624983680387352,69.90943876554502,1.5092441852481215,0.2996958253545611
CMS,0.11233,0.03254,21.34294,191.634,0.899,0.425,0.16,0.092,0.095,0.0106755798842144,-0.0850653398999384,0.0856106811152435,73.4011360168457,72.06544329325358,0.0089761763577724,50.42120909788995,0.0851531326213006,0.1604092484372241
